max_tile,score,total_moves,moves_left,moves_right,moves_up,moves_down,algorithm
64,628,97,21,23,32,20,Random
64,848,133,40,27,29,36,Random
64,1064,145,27,36,46,35,Random
128,1256,147,30,35,37,44,Random
128,1332,174,38,42,44,49,Random
128,1072,131,34,37,28,31,Random
128,1996,214,57,51,49,56,Random
128,924,130,25,38,29,37,Random
64,504,81,23,20,21,16,Random
32,432,83,19,21,17,25,Random
32,172,45,12,14,5,13,Random
256,2164,220,68,56,45,50,Random
64,960,135,41,36,27,30,Random
256,2428,270,77,56,63,73,Random
128,1140,128,35,34,27,31,Random
128,1312,179,43,42,44,49,Random
64,768,112,23,25,38,25,Random
128,1372,161,42,42,40,36,Random
256,2324,224,65,52,52,54,Random
128,1384,167,41,40,51,34,Random
128,1192,145,44,34,33,33,Random
64,592,99,23,30,24,21,Random
32,316,62,13,16,18,14,Random
128,1376,161,42,45,38,35,Random
128,1416,191,47,50,52,41,Random
64,920,132,27,30,33,41,Random
64,556,94,16,22,29,26,Random
32,388,75,16,22,17,19,Random
128,1056,130,44,28,29,28,Random
64,944,137,26,44,40,26,Random
256,2224,229,51,54,60,63,Random
32,412,82,18,16,33,14,Random
128,1040,124,28,34,34,27,Random
64,580,103,27,23,29,23,Random
128,1268,148,30,40,32,45,Random
64,832,138,31,35,39,32,Random
128,1388,189,40,51,49,48,Random
64,572,93,18,24,29,21,Random
64,460,76,19,18,22,16,Random
128,1392,162,38,37,51,35,Random
128,1412,182,38,49,46,48,Random
128,1100,133,33,28,37,34,Random
256,2128,217,41,61,59,55,Random
64,724,120,29,31,27,32,Random
32,236,54,9,15,16,13,Random
64,680,104,26,26,24,27,Random
128,1352,156,42,47,36,30,Random
32,364,63,15,17,16,14,Random
128,1244,147,44,31,44,27,Random
128,1200,147,28,35,42,41,Random
256,3064,251,186,0,9,55,Rule-based
256,2956,259,184,0,15,59,Rule-based
256,4212,344,242,0,12,89,Rule-based
128,1608,169,116,0,12,40,Rule-based
128,1484,156,107,0,8,40,Rule-based
128,1880,187,130,1,9,46,Rule-based
256,2380,214,158,0,5,50,Rule-based
256,3444,292,211,0,12,68,Rule-based
128,2192,204,140,1,8,54,Rule-based
256,3344,279,197,0,11,70,Rule-based
256,3488,293,198,0,17,77,Rule-based
128,1688,175,128,0,8,38,Rule-based
256,3468,288,192,0,19,76,Rule-based
256,4076,342,240,0,12,89,Rule-based
128,1788,183,129,0,9,44,Rule-based
256,4496,371,259,0,17,94,Rule-based
128,2576,241,154,1,19,66,Rule-based
256,2468,211,150,0,10,50,Rule-based
256,2744,235,159,0,11,64,Rule-based
256,3284,270,195,1,12,61,Rule-based
256,2396,203,151,0,5,46,Rule-based
256,3784,313,217,0,15,80,Rule-based
256,3736,306,207,1,18,79,Rule-based
64,1084,135,78,0,7,49,Rule-based
64,1448,162,99,0,9,53,Rule-based
256,2660,230,151,2,14,62,Rule-based
64,632,88,58,0,2,27,Rule-based
128,1188,130,97,0,2,30,Rule-based
128,1656,166,117,0,9,39,Rule-based
256,4308,361,250,0,20,90,Rule-based
64,1040,125,105,1,7,11,Rule-based
256,2964,261,182,1,14,63,Rule-based
128,1804,181,124,0,7,49,Rule-based
128,2344,230,153,0,17,59,Rule-based
512,7872,560,364,1,33,161,Rule-based
256,3060,252,170,0,12,69,Rule-based
256,2908,254,194,0,5,54,Rule-based
128,1884,191,133,0,7,50,Rule-based
256,2428,205,147,2,9,46,Rule-based
256,2492,217,168,1,9,38,Rule-based
256,2812,241,165,0,13,62,Rule-based
128,1612,171,115,0,7,48,Rule-based
256,3036,255,197,1,5,51,Rule-based
128,1100,116,93,0,3,19,Rule-based
128,1792,184,139,1,9,34,Rule-based
128,1452,149,103,1,7,37,Rule-based
128,2240,215,141,0,15,58,Rule-based
256,4356,343,218,0,20,104,Rule-based
64,948,122,88,0,5,28,Rule-based
256,2412,202,147,0,11,43,Rule-based
1024,15740,923,130,326,148,318,Minimax
2048,23576,1214,203,406,205,399,Minimax
1024,15468,902,152,305,184,260,Minimax
1024,15560,894,161,261,144,327,Minimax
1024,12136,727,147,225,124,230,Minimax
1024,16200,957,158,327,148,323,Minimax
512,7088,488,59,183,82,163,Minimax
1024,16268,962,161,318,142,340,Minimax
512,7736,537,69,192,62,213,Minimax
1024,12188,723,143,217,137,225,Minimax
1024,15776,912,161,308,117,325,Minimax
1024,15644,911,122,322,134,332,Minimax
512,6932,476,103,146,68,158,Minimax
1024,16096,949,170,314,149,315,Minimax
1024,11880,690,95,221,129,244,Minimax
1024,12576,764,128,258,93,284,Minimax
1024,16852,1009,183,318,142,365,Minimax
1024,16184,957,165,312,169,310,Minimax
1024,14456,847,137,260,123,326,Minimax
1024,16356,982,207,283,181,310,Minimax
512,7240,506,70,176,88,171,Minimax
1024,11808,703,125,225,123,229,Minimax
512,7444,514,91,160,94,168,Minimax
1024,16056,939,146,321,125,346,Minimax
2048,27160,1419,198,494,257,469,Minimax
1024,16084,946,178,293,135,339,Minimax
512,7420,518,93,168,80,176,Minimax
512,7920,566,83,196,87,199,Minimax
1024,14400,833,125,268,153,286,Minimax
1024,16500,988,156,333,164,334,Minimax
1024,12532,760,124,247,121,267,Minimax
1024,12176,724,150,234,93,246,Minimax
1024,16332,975,123,352,185,314,Minimax
1024,14492,848,124,297,125,301,Minimax
512,7376,509,97,150,71,190,Minimax
2048,25932,1343,212,419,244,467,Minimax
2048,25508,1307,186,442,239,439,Minimax
