max_tile,score,total_moves,moves_left,moves_right,moves_up,moves_down
1024,12304,748,108,260,132,247
1024,12028,704,87,260,115,241
512,7680,526,78,191,63,193
512,5756,413,63,138,74,137
1024,14104,815,108,297,110,299
512,7448,521,98,162,66,194
1024,15452,906,170,278,147,310
1024,12432,741,117,262,114,247
512,8612,551,74,197,94,185
1024,15860,927,165,318,140,303
512,7020,478,80,149,53,195
1024,12428,747,105,260,124,257
512,6912,477,49,181,90,156
512,5368,375,58,129,60,127
512,6284,422,58,162,42,159
512,7188,493,99,147,89,157
1024,12104,715,143,224,88,259
1024,16064,951,160,311,164,315
1024,11964,712,91,261,86,273
512,6936,468,64,165,86,152
512,6356,430,80,127,68,154
1024,15192,880,126,324,90,339
1024,12300,739,84,278,106,270
512,7420,518,63,190,74,190
256,3172,262,27,105,33,96
512,7060,481,61,181,74,164
1024,12784,772,131,246,147,247
1024,11460,671,65,267,116,222
1024,15728,906,164,311,72,358
512,5576,398,80,128,48,141
1024,15880,930,131,311,169,318
1024,12048,720,119,243,78,279
512,7800,534,70,204,82,177
1024,16484,985,122,364,143,355
512,7172,494,81,163,60,189
512,6920,471,103,141,58,168
512,7184,496,61,181,81,172
1024,12292,734,104,265,88,276
512,6920,475,67,158,64,185
1024,10632,624,103,211,87,222
1024,12072,711,104,251,93,262
512,7172,493,68,185,51,188
512,8104,566,41,214,118,192
1024,14504,835,124,299,110,301
1024,14792,879,141,305,116,316
512,10940,709,77,289,88,254
256,3124,258,37,93,15,112
512,7416,511,60,205,54,191
512,7112,487,91,174,55,166
512,7096,481,76,170,65,169
