max_tile,score,total_moves,moves_left,moves_right,moves_up,moves_down
1024,15740,923,130,326,148,318
2048,23576,1214,203,406,205,399
1024,15468,902,152,305,184,260
1024,15560,894,161,261,144,327
1024,12136,727,147,225,124,230
1024,16200,957,158,327,148,323
512,7088,488,59,183,82,163
1024,16268,962,161,318,142,340
512,7736,537,69,192,62,213
1024,12188,723,143,217,137,225
1024,15776,912,161,308,117,325
1024,15644,911,122,322,134,332
512,6932,476,103,146,68,158
1024,16096,949,170,314,149,315
1024,11880,690,95,221,129,244
1024,12576,764,128,258,93,284
1024,16852,1009,183,318,142,365
1024,16184,957,165,312,169,310
1024,14456,847,137,260,123,326
1024,16356,982,207,283,181,310
512,7240,506,70,176,88,171
1024,11808,703,125,225,123,229
512,7444,514,91,160,94,168
1024,16056,939,146,321,125,346
2048,27160,1419,198,494,257,469
1024,16084,946,178,293,135,339
512,7420,518,93,168,80,176
512,7920,566,83,196,87,199
1024,14400,833,125,268,153,286
1024,16500,988,156,333,164,334
1024,12532,760,124,247,121,267
1024,12176,724,150,234,93,246
1024,16332,975,123,352,185,314
1024,14492,848,124,297,125,301
512,7376,509,97,150,71,190
2048,25932,1343,212,419,244,467
2048,25508,1307,186,442,239,439
256,3108,258,38,88,53,78
1024,17076,1031,197,319,151,363
1024,16056,938,170,308,106,353
1024,12640,771,85,288,106,291
1024,16644,974,185,320,124,344
1024,16188,954,109,350,161,333
1024,16184,959,167,317,151,323
1024,15904,945,148,320,127,349
1024,15996,938,163,308,145,321
1024,16860,1007,180,309,169,348
512,7204,496,94,141,97,163
1024,16076,944,130,307,194,312
2048,26944,1394,196,498,251,448
