max_tile,score,total_moves,moves_left,moves_right,moves_up,moves_down
256,2032,193,42,51,49,50
128,1140,138,30,32,38,37
64,1040,158,34,50,40,33
64,724,116,37,27,28,23
64,716,102,17,29,26,29
64,596,97,23,27,24,22
128,1144,150,36,33,38,42
128,1192,146,31,44,30,40
128,1212,154,38,49,33,33
64,744,121,33,36,26,25
128,1492,178,47,38,47,45
256,2128,196,55,44,47,49
64,588,90,23,26,19,21
128,1224,159,29,48,45,36
128,1392,193,43,50,60,39
128,1500,187,52,46,44,44
64,872,135,37,32,30,35
128,1268,166,47,36,47,35
64,768,118,32,32,29,24
64,904,124,36,32,25,30
128,864,107,27,22,28,29
128,1472,186,46,61,28,50
128,1120,150,30,41,34,44
128,1380,165,34,44,49,37
32,396,88,24,23,17,23
64,580,92,25,24,17,25
128,1292,161,41,42,39,38
128,1160,140,32,33,43,31
64,712,119,34,28,33,23
128,1312,151,44,16,50,40
64,584,101,27,23,27,23
64,492,82,18,21,22,20
32,248,57,15,11,16,14
64,608,96,29,18,27,21
128,1400,161,43,42,34,41
128,1456,195,49,44,49,52
128,1208,139,40,36,31,31
32,348,77,22,20,16,18
64,728,107,23,24,34,25
64,676,105,28,23,26,27
32,296,67,19,13,19,15
64,880,127,24,33,40,29
128,1080,141,31,38,33,38
128,1484,186,48,40,48,49
128,1448,172,45,39,35,52
128,1076,135,26,43,32,33
64,732,143,33,27,45,37
64,492,85,21,18,17,28
64,824,137,35,25,46,30
128,1132,146,38,42,35,30
