max_tile,score,total_moves,moves_left,moves_right,moves_up,moves_down
256,3064,251,186,0,9,55
256,2956,259,184,0,15,59
256,4212,344,242,0,12,89
128,1608,169,116,0,12,40
128,1484,156,107,0,8,40
128,1880,187,130,1,9,46
256,2380,214,158,0,5,50
256,3444,292,211,0,12,68
128,2192,204,140,1,8,54
256,3344,279,197,0,11,70
256,3488,293,198,0,17,77
128,1688,175,128,0,8,38
256,3468,288,192,0,19,76
256,4076,342,240,0,12,89
128,1788,183,129,0,9,44
256,4496,371,259,0,17,94
128,2576,241,154,1,19,66
256,2468,211,150,0,10,50
256,2744,235,159,0,11,64
256,3284,270,195,1,12,61
256,2396,203,151,0,5,46
256,3784,313,217,0,15,80
256,3736,306,207,1,18,79
64,1084,135,78,0,7,49
64,1448,162,99,0,9,53
256,2660,230,151,2,14,62
64,632,88,58,0,2,27
128,1188,130,97,0,2,30
128,1656,166,117,0,9,39
256,4308,361,250,0,20,90
64,1040,125,105,1,7,11
256,2964,261,182,1,14,63
128,1804,181,124,0,7,49
128,2344,230,153,0,17,59
512,7872,560,364,1,33,161
256,3060,252,170,0,12,69
256,2908,254,194,0,5,54
128,1884,191,133,0,7,50
256,2428,205,147,2,9,46
256,2492,217,168,1,9,38
256,2812,241,165,0,13,62
128,1612,171,115,0,7,48
256,3036,255,197,1,5,51
128,1100,116,93,0,3,19
128,1792,184,139,1,9,34
128,1452,149,103,1,7,37
128,2240,215,141,0,15,58
256,4356,343,218,0,20,104
64,948,122,88,0,5,28
256,2412,202,147,0,11,43
