Score,Max Tile,Moves,Algorithm
1068.0,128.0,459.0,Random
956.0,128.0,430.0,Random
700.0,64.0,303.0,Random
872.0,64.0,385.0,Random
1520.0,128.0,483.0,Random
492.0,64.0,312.0,Random
1340.0,128.0,435.0,Random
372.0,32.0,254.0,Random
1324.0,128.0,408.0,Random
1416.0,128.0,438.0,Random
620.0,64.0,306.0,Random
560.0,64.0,308.0,Random
1328.0,128.0,436.0,Random
688.0,64.0,345.0,Random
680.0,64.0,365.0,Random
984.0,64.0,406.0,Random
1100.0,128.0,360.0,Random
140.0,16.0,200.0,Random
584.0,64.0,327.0,Random
776.0,64.0,322.0,Random
1184.0,128.0,446.0,Random
1332.0,128.0,360.0,Random
1384.0,128.0,523.0,Random
1472.0,128.0,420.0,Random
560.0,64.0,300.0,Random
1284.0,128.0,423.0,Random
764.0,64.0,336.0,Random
1356.0,128.0,475.0,Random
1188.0,128.0,394.0,Random
484.0,64.0,240.0,Random
3080.0,256.0,1173.0,Rule-based
10772.0,1024.0,2846.0,Rule-based
12544.0,1024.0,2900.0,Rule-based
11596.0,1024.0,3018.0,Rule-based
5468.0,512.0,1915.0,Rule-based
7596.0,512.0,2342.0,Rule-based
6808.0,512.0,1924.0,Rule-based
3188.0,256.0,1264.0,Rule-based
11692.0,1024.0,2721.0,Rule-based
3056.0,256.0,1255.0,Rule-based
6524.0,512.0,2308.0,Rule-based
4632.0,256.0,1400.0,Rule-based
10400.0,1024.0,2810.0,Rule-based
8708.0,512.0,2360.0,Rule-based
3432.0,256.0,1053.0,Rule-based
4836.0,256.0,1482.0,Rule-based
2384.0,128.0,1053.0,Rule-based
6868.0,512.0,2097.0,Rule-based
11228.0,1024.0,2954.0,Rule-based
7120.0,512.0,2008.0,Rule-based
5808.0,512.0,1494.0,Rule-based
3516.0,256.0,1393.0,Rule-based
5012.0,256.0,1675.0,Rule-based
4920.0,256.0,1547.0,Rule-based
3948.0,256.0,1314.0,Rule-based
5252.0,256.0,1417.0,Rule-based
7796.0,512.0,2263.0,Rule-based
7476.0,512.0,2424.0,Rule-based
3824.0,256.0,1157.0,Rule-based
4400.0,256.0,1432.0,Rule-based
5440.0,256.0,1722.0,Minimax
10648.0,512.0,2537.0,Minimax
12196.0,1024.0,3041.0,Minimax
9480.0,512.0,2820.0,Minimax
6356.0,512.0,1758.0,Minimax
16400.0,1024.0,3435.0,Minimax
5676.0,256.0,1565.0,Minimax
7188.0,512.0,1672.0,Minimax
9440.0,512.0,2685.0,Minimax
4896.0,256.0,1318.0,Minimax
10108.0,512.0,2633.0,Minimax
14680.0,1024.0,3639.0,Minimax
7044.0,512.0,2064.0,Minimax
7216.0,512.0,2365.0,Minimax
18184.0,1024.0,3727.0,Minimax
12180.0,1024.0,3237.0,Minimax
16008.0,1024.0,3159.0,Minimax
16372.0,1024.0,3707.0,Minimax
13140.0,1024.0,3149.0,Minimax
7428.0,512.0,2372.0,Minimax
5852.0,256.0,1776.0,Minimax
12576.0,1024.0,3085.0,Minimax
7276.0,512.0,2016.0,Minimax
4976.0,256.0,1511.0,Minimax
3208.0,256.0,1181.0,Minimax
18312.0,1024.0,3559.0,Minimax
4528.0,256.0,1492.0,Minimax
2692.0,128.0,1119.0,Minimax
9636.0,512.0,2543.0,Minimax
15692.0,1024.0,3671.0,Minimax
15448.0,1024.0,3832.0,Expectimax
1360.0,64.0,720.0,Expectimax
6720.0,512.0,2133.0,Expectimax
3208.0,256.0,1367.0,Expectimax
7388.0,512.0,2460.0,Expectimax
11156.0,512.0,2640.0,Expectimax
4960.0,256.0,1609.0,Expectimax
18436.0,1024.0,4210.0,Expectimax
3360.0,256.0,1468.0,Expectimax
14704.0,1024.0,3824.0,Expectimax
15524.0,1024.0,3928.0,Expectimax
18536.0,1024.0,4014.0,Expectimax
8468.0,512.0,2644.0,Expectimax
9012.0,512.0,1986.0,Expectimax
13020.0,512.0,3183.0,Expectimax
7136.0,512.0,2246.0,Expectimax
14200.0,1024.0,3335.0,Expectimax
3588.0,256.0,1268.0,Expectimax
12944.0,1024.0,3296.0,Expectimax
16932.0,1024.0,4065.0,Expectimax
9448.0,512.0,2543.0,Expectimax
7180.0,512.0,2325.0,Expectimax
12616.0,1024.0,3592.0,Expectimax
4908.0,256.0,1465.0,Expectimax
5632.0,256.0,1817.0,Expectimax
5972.0,256.0,1604.0,Expectimax
19040.0,1024.0,4382.0,Expectimax
19148.0,1024.0,4456.0,Expectimax
5744.0,256.0,1631.0,Expectimax
3356.0,256.0,1298.0,Expectimax
