Score, Max Tile, Moves
15448, 1024, 3832
1360, 64, 720
6720, 512, 2133
3208, 256, 1367
7388, 512, 2460
11156, 512, 2640
4960, 256, 1609
18436, 1024, 4210
3360, 256, 1468
14704, 1024, 3824
15524, 1024, 3928
18536, 1024, 4014
8468, 512, 2644
9012, 512, 1986
13020, 512, 3183
7136, 512, 2246
14200, 1024, 3335
3588, 256, 1268
12944, 1024, 3296
16932, 1024, 4065
9448, 512, 2543
7180, 512, 2325
12616, 1024, 3592
4908, 256, 1465
5632, 256, 1817
5972, 256, 1604
19040, 1024, 4382
19148, 1024, 4456
5744, 256, 1631
3356, 256, 1298
