Score, Max Tile, Moves
5440, 256, 1722
10648, 512, 2537
12196, 1024, 3041
9480, 512, 2820
6356, 512, 1758
16400, 1024, 3435
5676, 256, 1565
7188, 512, 1672
9440, 512, 2685
4896, 256, 1318
10108, 512, 2633
14680, 1024, 3639
7044, 512, 2064
7216, 512, 2365
18184, 1024, 3727
12180, 1024, 3237
16008, 1024, 3159
16372, 1024, 3707
13140, 1024, 3149
7428, 512, 2372
5852, 256, 1776
12576, 1024, 3085
7276, 512, 2016
4976, 256, 1511
3208, 256, 1181
18312, 1024, 3559
4528, 256, 1492
2692, 128, 1119
9636, 512, 2543
15692, 1024, 3671
