Score, Max Tile, Moves
3080, 256, 1173
10772, 1024, 2846
12544, 1024, 2900
11596, 1024, 3018
5468, 512, 1915
7596, 512, 2342
6808, 512, 1924
3188, 256, 1264
11692, 1024, 2721
3056, 256, 1255
6524, 512, 2308
4632, 256, 1400
10400, 1024, 2810
8708, 512, 2360
3432, 256, 1053
4836, 256, 1482
2384, 128, 1053
6868, 512, 2097
11228, 1024, 2954
7120, 512, 2008
5808, 512, 1494
3516, 256, 1393
5012, 256, 1675
4920, 256, 1547
3948, 256, 1314
5252, 256, 1417
7796, 512, 2263
7476, 512, 2424
3824, 256, 1157
4400, 256, 1432
